   010. Barrios, Distribución de renta de los hogares,
   011. Palacio,36356.86205058354,
   012. Embajadores,27655.17264160795,
   013. Cortes,37725.31643040841,
   014. Justicia,43044.75793612973,
   015. Universidad,33208.77979990268,
   016. Sol,32599.34222413489,
   021. Imperial,44101.09928733901,
   022. Acacias,46102.38689862066,
   023. Chopera,33283.838985633105,
   024. Legazpi,51613.04671497235,
   025. Delicias,41534.65501437641,
   026. Palos de Moguer,35873.60536316411,
   027. Atocha,38971.0,
   031. Pacífico,43434.14270999345,
   032. Adelfas,45917.8116757863,
   033. Estrella,60385.786581160515,
   034. Ibiza,48231.478832139626,
   035. Jerónimos,70467.17144290794,
   036. Niño Jesús,67780.16341533478,
   041. Recoletos,80387.28868039027,
   042. Goya,51782.9145286894,
   043. Fuente del Berro,42630.27987622283,
   044. Guindalera,47778.92219937218,
   045. Lista,51492.41927055371,
   046. Castellana,72399.218055611,
   051. El Viso,80447.19595124948,
   052. Prosperidad,45620.1787970917,
   053. Ciudad Jardín,45521.289720085384,
   054. Hispanoamérica,66079.27742718627,
   055. Nueva España,74482.3558300516,,,,
   056. Castilla,58136.78548690526,,,,
   061. Bellas Vistas,32298.333237447077,,,,
   062. Cuatro Caminos,44644.08182413573,,,,
   063. Castillejos,46951.21984055035,,,,
   064. Almenara,30882.64529986315,,,,
   065. Valdeacederas,28996.07302408422,,,,
   066. Berruguete,30200.84437434208,,,,
   071. Gaztambide,45112.40186751973,,,,
   072. Arapiles,44265.298350069366,,,,
   073. Trafalgar,43791.684942003674,,,,
   074. Almagro,69696.28522863866,,,,
   075. Ríos Rosas,50372.527576323184,,,,
   076. Vallehermoso,60073.67040081192,,,,
   081. El Pardo,36744.50222273903,,,,
   082. Fuentelarreina,84239.05515940307,,,,
   083. Peñagrande,46882.62568696712,,,,
   084. Pilar,34531.7696936723,,,,
   085. La Paz,59580.24210275288,,,,
   086. Valverde,44503.22707038736,,,,
   087. Mirasierra,69837.88262424708,,,,
   088. El Goloso,61919.30120392469,,,,
   091. Casa de Campo,42796.083804094065,,,,
   092. Argüelles,54446.19324142607,,,,
   093. Ciudad Universitaria,60564.54912720735,,,,
   094. Valdezarza,35982.60756191602,,,,
   095. Valdemarín,88243.28722868409,,,,
   096. El Plantío,89215.0,,,,
   097. Aravaca,69380.4167830863,,,,
   101. Los Cármenes,30190.19420258434,,,,
   102. Puerta del Angel,28661.330348347015,,,,
   103. Lucero,30910.304939335216,,,,
   104. Aluche,31591.2085095363,,,,
   105. Campamento,32304.10919038396,,,,
   106. Cuatro Vientos,36806.068412370514,,,,
   107. Las Águilas,30652.549140193925,,,,
   111. Comillas,28515.54212405642,,,,
   112. Opañel,28721.199942988853,,,,
   113. San Isidro,27031.878607015635,,,,
   114. Vista Alegre,28333.25814392877,,,,
   115. Puerta Bonita,26362.895396399344,,,,
   116. Buenavista,32278.387672644436,,,,
   117. Abrantes,28797.45909612184,,,,
   121. Orcasitas,28256.070493173305,,,,
   122. Orcasur,25932.588871824795,,,,
   123. San Fermín,26284.212806827083,,,,
   124. Almendrales,26469.55090287466,,,,
   125. Moscardó,26985.95754775859,,,,
   126. Zofio,26501.39576617129,,,,
   127. Pradolongo,23958.843219985258,,,,
   131. Entrevías,23085.76588134208,,,,
   132. San Diego,21858.69264361057,,,,
   133. Palomeras Bajas,29604.89602298087,,,,
   134. Palomeras Sureste,27810.459003860073,,,,
   135. Portazgo,24621.560082261538,,,,
   136. Numancia,25457.011169490244,,,,
   141. Pavones,34990.810288630964,,,,
   142. Horcajo,46289.26469997773,,,,
   143. Marroquina,41108.384234988116,,,,
   144. Media Legua,36404.29648015864,,,,
   145. Fontarrón,28717.67711925863,,,,
   146. Vinateros,29627.396469722768,,,,
   151. Ventas,29318.65160998315,,,,
   152. Pueblo Nuevo,30974.503540073485,,,,
   153. Quintana,30972.29884231256,,,,
   154. Concepción,35033.775682601205,,,,
   155. San Pascual,42809.052900749324,,,,
   156. San Juan Bautista,57584.326127942295,,,,
   157. Colina,54615.29288681543,,,,
   158. Atalaya,68336.0,,,,
   159. Costillares,65144.18197840434,,,,
   161. Palomas,81073.19263034186,,,,
   162. Piovera,81937.91940102469,,,,
   163. Canillas,41118.238380907234,,,,
   164. Pinar del Rey,34494.430068913105,,,,
   165. Apóstol Santiago,37643.37639485897,,,,
   166. Valdefuentes,55523.30428923932,,,,
"   171. Villaverde Alto, C.H. Villaverde",25622.279540439766,,,,
   172. San Cristóbal,20365.023927862174,,,,
   173. Butarque,30537.67701524861,,,,
   174. Los Rosales,29137.192147934544,,,,
   175. Los Ángeles,29050.183536272256,,,,
   181. Casco Histórico de Vallecas,25118.35147225486,,,,
   182. Santa Eugenia,37372.87689086554,,,,
   183. Ensanche de Vallecas,33625.6768554759,,,,
   191. Casco Histórico de Vicálvaro,24976.426613048254,,,,
   192. Valdebernardo,40074.18233335987,,,,
   193. Valderrivas,41469.71072025052,,,,
   194. El Cañaveral,31445.0,,,,
   201. Simancas,32113.36837658786,,,,
   202. Hellín,24923.087797156735,,,,
   203. Amposta,22573.981592881562,,,,
   204. Arcos,29659.01481876968,,,,
   205. Rosas,44885.78541839587,,,,
   206. Rejas,39137.46650192859,,,,
   207. Canillejas,32291.488065040816,,,,
   208. Salvador,54317.0285933675,,,,
   211. Alameda de Osuna,54036.693335380165,,,,
   212. Aeropuerto,25585.0,,,,
   213. Casco Histórico de Barajas,30334.764020732593,,,,
   214. Timón,41023.134854351614,,,,
   215. Corralejos,68524.7452998454,,,,
